P034R032, 20010924, 6400, 628, 400, 400
P034R032, 20010924, 6191, 1126, 400, 400
P034R032, 20010924, 6006, 2123, 400, 400
P034R032, 20010924, 6819, 3606, 400, 400
P034R032, 20010924, 7110, 4066, 400, 400
P034R032, 20010924, 7261, 5641, 400, 400
P090R083, 20000913, 5809, 6424, 400, 400
P090R083, 20000913, 4504, 6157, 400, 400
P090R083, 20000913, 2760, 5181, 400, 400
P090R083, 20000913, 1958, 969, 400, 400
P090R083, 20000913, 2318, 1340, 400, 400
P090R083, 20000913, 2531, 2323, 400, 400
P091R083, 20001006, 4188, 802, 400, 400
P091R083, 20001006, 4013, 1830, 400, 400
P091R083, 20001006, 4257, 2835, 400, 400
P091R083, 20001006, 4448, 6704, 400, 400
P091R083, 20001006, 2076, 7004, 400, 400
P091R083, 20001006, 2204, 2245, 400, 400
P092R086, 19991128, 3415, 983, 400, 400
P092R086, 19991128, 5167, 476, 400, 400
P092R086, 19991128, 6560, 713, 400, 400
P092R086, 19991128, 4433, 4616, 400, 400
P092R086, 19991128, 2457, 6466, 400, 400
P092R086, 19991128, 4405, 1681, 400, 400
P093R085, 20001004, 4071, 1900, 400, 400
P093R085, 20001004, 3593, 2540, 400, 400
P093R085, 20001004, 3203, 6463, 400, 400
P093R085, 20001004, 2735, 4676, 400, 400
P093R085, 20001004, 2628, 3750, 400, 400
P093R085, 20001004, 2591, 2510, 400, 400
P093R085, 20001004, 5750, 1656, 400, 400
P093R086, 20001005, 6485, 217, 400, 400
P093R086, 20001005, 5177, 1861, 400, 400
P093R086, 20001005, 4938, 1676, 400, 400
P093R086, 20001005, 2777, 811, 400, 400
P093R086, 20001005, 2942, 3537, 400, 400
P093R086, 20001005, 2789, 5256, 400, 400
P093R086, 20001005, 3325, 6694, 400, 400
P093R086, 20001005, 2553, 3183, 400, 400
